area	vertices	type	avg_x	avg_y
49.15	4	1	4.675	2.257
105.0	6	1	15.749	4.46
9.743	4	1	27.389	0.289
12.56	5	1	37.534	0.881
2.382	4	1	42.023	0.197
233.6	6	1	41.841	9.314
3.248	4	1	48.65	0.202
183.2	7	1	54.153	9.489
147.9	5	1	67.946	3.457
22.73	4	1	79.512	2.676
73.83	6	1	87.592	3.078
144.6	7	1	105.104	3.181
226.0	8	1	120.14	9.783
271.3	8	1	141.069	5.465
44.6	4	1	156.536	2.791
41.79	5	1	163.622	2.589
149.8	6	1	170.974	8.748
15.16	4	1	174.543	2.697
181.4	8	1	183.595	5.76
155.2	6	1	207.03	3.431
114.5	5	1	222.582	7.945
111.1	6	1	229.477	5.047
99.38	4	1	238.576	5.015
110.2	5	1	246.103	6.438
54.56	4	1	263.509	1.638
43.3	4	1	274.131	4.514
504.5	8	1	289.312	9.046
9.093	4	1	295.244	0.629
82.71	6	1	317.464	2.862
30.53	5	1	327.197	1.274
15.59	4	1	338.677	0.559
891.4	9	1	355.969	23.244
24.47	5	1	357.673	1.088
619.0	7	1	381.226	8.09
14.07	3	1	404.862	0.853
185.8	7	1	412.426	5.833
23.38	4	1	426.12	1.01
199.4	5	1	441.681	4.969
292.7	7	1	457.905	10.7
16.67	3	1	461.588	0.86
42.0	4	1	474.646	1.618
60.41	4	1	489.308	1.394
201.6	6	0	27.221	7.439
5.196	4	0	192.0	1.84
1.083	3	0	190.25	1.472
45.47	4	0	257.067	4.491
169.5	7	0	334.872	7.442
52.18	6	0	195.34	5.57
500.6	11	0	426.806	16.847
131.2	6	1	494.689	7.935
504.9	11	0	261.536	14.924
3.681	4	0	424.177	2.904
422.2	10	0	477.497	15.561
50.66	5	0	472.132	6.245
247.9	6	1	6.447	14.073
6.062	3	0	359.723	6.294
21.87	3	0	103.465	6.894
837.2	15	0	318.279	24.58
1.299	3	0	327.208	5.99
64.3	5	0	397.137	8.826
737.4	10	0	80.224	23.603
1.516	4	0	95.5	5.815
17.75	4	0	109.454	8.391
8.011	4	0	115.446	7.467
63.22	6	0	198.641	10.615
244.0	10	0	101.781	14.288
148.5	4	0	134.187	11.992
92.23	6	0	158.737	10.077
128.2	7	0	215.909	14.94
238.6	4	0	66.206	15.482
101.8	7	0	298.458	12.336
52.61	6	0	207.83	12.465
196.2	6	0	445.407	18.097
116.9	6	0	189.694	16.757
7.794	4	0	306.077	12.064
10.39	4	0	413.297	12.783
8.444	3	0	203.141	12.968
375.0	8	0	396.21	22.103
51.53	6	0	21.84	15.716
21.0	5	0	166.58	14.495
546.2	7	0	373.722	35.176
158.7	7	0	178.585	20.643
67.33	7	0	238.881	16.574
24.03	4	0	275.705	15.694
5.196	3	0	304.708	14.109
62.35	5	0	226.288	16.298
311.6	8	0	40.663	22.79
151.3	7	0	154.311	19.022
89.63	5	0	491.136	18.016
75.78	6	0	140.424	18.016
2.382	3	0	146.682	14.25
75.78	5	0	336.029	19.265
268.0	7	0	166.067	26.355
266.1	10	0	199.008	25.151
30.74	6	0	233.53	18.391
17.1	4	1	498.858	17.896
113.7	5	0	412.995	21.7
234.3	6	0	464.156	26.654
90.5	5	0	296.321	21.008
67.98	4	0	16.23	20.946
536.1	9	0	129.695	33.026
198.1	7	0	211.983	27.219
114.7	5	0	241.025	25.609
25.11	4	0	115.349	20.882
137.3	7	0	23.8	25.988
292.7	9	0	227.066	30.297
144.4	7	0	251.223	26.421
535.4	9	0	148.117	35.949
10.61	4	1	498.301	22.137
76.86	4	0	99.58	23.522
196.6	7	0	110.765	28.537
270.0	6	0	342.984	30.694
229.9	7	1	7.764	30.453
384.9	9	0	54.819	33.981
289.9	8	1	493.391	32.631
161.7	6	0	296.803	28.568
1.732	3	0	218.125	23.058
15.59	4	0	274.948	24.014
313.1	10	0	280.549	32.961
6.495	3	0	331.283	24.537
67.12	5	0	185.831	26.44
26.41	4	0	234.877	27.038
219.3	6	0	480.52	35.555
